Classes;Vertices;Arestas;Novo Limite; Resp H1; Resp H2; Time H1 (microseg); Time H2 (microseg);
Barbasi;10;24;2;2;2;42.75;8.25;
Barbasi;10;24;2;3;3;94;14.5;
Barbasi;10;24;2;2;2;127.25;9.5;
Barbasi;10;24;2;3;3;106.25;8.75;
Barbasi;10;24;2;2;2;31.75;5.5;
Barbasi;10;24;3;3;3;137;9;
Barbasi;10;24;3;3;3;110.75;10.75;
Barbasi;10;24;3;3;3;111.75;9.75;
Barbasi;10;24;2;3;3;107.5;9.5;
Barbasi;10;24;2;2;2;37.25;6;
Barbasi;20;96;2;3;3;483.5;24;
Barbasi;20;96;2;3;3;336.5;19.25;
Barbasi;20;96;2;3;3;403.25;20;
Barbasi;20;96;3;3;3;619;20.5;
Barbasi;20;96;2;2;2;115.75;12;
Barbasi;20;96;2;3;3;439;20;
Barbasi;20;96;2;3;3;452.5;20;
Barbasi;20;96;3;3;3;425.75;20;
Barbasi;20;96;2;3;3;574.25;19;
Barbasi;20;96;2;2;2;119.5;12;
Barbasi;30;216;2;3;3;701.75;30.25;
Barbasi;30;216;2;3;3;1188.75;28.25;
Barbasi;30;216;2;4;3;1271.75;18.5;
Barbasi;30;216;2;3;3;637.25;18.25;
Barbasi;30;216;2;3;3;684.25;18;
Barbasi;30;216;2;3;3;520.25;17.25;
Barbasi;30;216;2;3;3;960.75;18;
Barbasi;30;216;2;3;3;893;17.75;
Barbasi;30;216;2;3;3;635;16.75;
Barbasi;30;216;2;4;3;1170.75;16.75;
Barbasi;40;384;2;3;3;1484.75;43.5;
Barbasi;40;384;2;3;3;2493.5;38.25;
Barbasi;40;384;2;3;3;3798;48.25;
Barbasi;40;384;2;3;3;1518.75;38;
Barbasi;40;384;2;4;3;3048.75;36.5;
Barbasi;40;384;2;3;3;2962.25;36;
Barbasi;40;384;2;4;3;2913.25;36.5;
Barbasi;40;384;2;3;3;2027.25;36.75;
Barbasi;40;384;2;3;3;2329.25;37.5;
Barbasi;40;384;2;3;3;2334.25;36.75;
Barbasi;50;600;2;4;3;5842.75;52.75;
Barbasi;50;600;2;4;3;5478.75;62.75;
Barbasi;50;600;2;3;3;3051;45.75;
Barbasi;50;600;2;3;3;4729.5;46;
Barbasi;50;600;2;3;3;3694.75;47;
Barbasi;50;600;2;3;3;6040.5;46.5;
Barbasi;50;600;2;4;3;3722.5;46.75;
Barbasi;50;600;2;4;3;5369.25;47;
Barbasi;50;600;2;3;3;6815;61;
Barbasi;50;600;2;4;3;6919;45.75;
Barbasi;60;864;2;4;4;4918.25;28.75;
Barbasi;60;864;2;3;3;2375.75;20.5;
Barbasi;60;864;2;4;4;4460.75;30;
Barbasi;60;864;2;4;3;4616.5;19.75;
Barbasi;60;864;2;4;3;4526.75;19.5;
Barbasi;60;864;2;3;4;4329.25;27.25;
Barbasi;60;864;2;3;3;1904.5;20.25;
Barbasi;60;864;2;4;3;3145.5;20.25;
Barbasi;60;864;2;3;3;2267.25;20;
Barbasi;60;864;2;3;3;2265;20;
Barbasi;70;1176;2;3;3;2831.75;27;
Barbasi;70;1176;2;4;3;5803.5;23.25;
Barbasi;70;1176;2;4;3;5572;24;
Barbasi;70;1176;2;3;3;2475.25;26;
Barbasi;70;1176;2;3;3;2780;24.75;
Barbasi;70;1176;2;3;3;2547.25;24.25;
Barbasi;70;1176;2;3;3;3962.5;23.75;
Barbasi;70;1176;2;4;3;4992.75;23.75;
Barbasi;70;1176;2;4;3;4039.25;23.75;
Barbasi;70;1176;2;4;4;7727.5;33;
Barbasi;80;1536;2;4;3;7247.25;29.5;
Barbasi;80;1536;2;3;3;5620.75;28.25;
Barbasi;80;1536;2;4;3;6404.75;27.5;
Barbasi;80;1536;2;4;3;7922;39.5;
Barbasi;80;1536;2;4;3;6628;27.75;
Barbasi;80;1536;2;3;3;9400;28.5;
Barbasi;80;1536;2;3;3;4514.75;28;
Barbasi;80;1536;2;3;3;3353.75;27.75;
Barbasi;80;1536;2;4;3;4950.5;28.5;
Barbasi;80;1536;2;4;4;7848;40;
Barbasi;90;1944;2;4;3;8753;36.25;
Barbasi;90;1944;2;4;3;9500.75;32.25;
Barbasi;90;1944;2;3;3;4261.25;33.25;
Barbasi;90;1944;2;4;3;7729.25;32.75;
Barbasi;90;1944;2;3;3;7330.75;32.5;
Barbasi;90;1944;2;4;3;6927;32.25;
Barbasi;90;1944;2;4;4;9817;48;
Barbasi;90;1944;2;4;3;9570.5;31;
Barbasi;90;1944;2;3;3;4578;33.25;
Barbasi;90;1944;2;4;3;9318.75;32;
Barbasi;100;2400;2;4;3;8634.5;39;
Barbasi;100;2400;2;4;4;13238.2;67.5;
Barbasi;100;2400;2;4;4;13396;55;
Barbasi;100;2400;2;4;4;10156.2;54.5;
Barbasi;100;2400;2;4;3;12155.5;36.75;
Barbasi;100;2400;2;4;3;11672.2;36.25;
Barbasi;100;2400;2;3;3;8264;37.25;
Barbasi;100;2400;2;4;3;13512;36;
Barbasi;100;2400;2;4;3;11395.2;36.5;
Barbasi;100;2400;2;4;3;9852.5;36.75;
Barbasi;200;9600;2;4;4;282477;419;
Barbasi;200;9600;2;4;4;168748;278;
Barbasi;200;9600;2;4;4;121649;213;
Barbasi;200;9600;2;4;4;131162;198.75;
Barbasi;200;9600;2;4;4;121981;194.5;
Barbasi;200;9600;2;4;4;137352;197;
Barbasi;200;9600;2;4;4;122794;193.5;
Barbasi;200;9600;2;4;3;94246.5;124.75;
Barbasi;200;9600;2;4;4;106382;148;
Barbasi;200;9600;2;4;4;93925.2;149.5;
Barbasi;300;21600;2;4;4;1.09697e+06;581;
Barbasi;300;21600;2;4;4;1.0756e+06;541.75;
Barbasi;300;21600;2;4;4;1.04685e+06;814.75;
Barbasi;300;21600;2;4;4;944204;389.75;
Barbasi;300;21600;2;4;4;845366;382.75;
Barbasi;300;21600;2;4;4;1.37217e+06;406.25;
Barbasi;300;21600;2;4;4;780883;386;
Barbasi;300;21600;2;4;4;672287;375.25;
Barbasi;300;21600;2;4;4;717985;566;
Barbasi;300;21600;2;4;4;656617;383.25;
Barbasi;400;38400;2;4;4;1.1775e+06;536.75;
Barbasi;400;38400;2;4;4;1.15209e+06;504.5;
Barbasi;400;38400;2;4;4;1.18556e+06;505.5;
Barbasi;400;38400;2;4;4;997918;509.25;
Barbasi;400;38400;2;4;4;1.54675e+06;504.5;
Barbasi;400;38400;2;4;4;1.29108e+06;504.5;
Barbasi;400;38400;2;4;4;1.34921e+06;540.25;
Barbasi;400;38400;2;4;4;1.06187e+06;504.25;
Barbasi;400;38400;2;4;4;1.34998e+06;497.5;
Barbasi;400;38400;2;4;4;1.28786e+06;544;
Barbasi;500;60000;2;4;4;2.61317e+06;755.25;
Barbasi;500;60000;2;4;4;2.45248e+06;762.25;
Barbasi;500;60000;2;4;4;2.71694e+06;755.25;
Barbasi;500;60000;2;4;4;2.17822e+06;753.25;
Barbasi;500;60000;2;4;4;2.19652e+06;761.75;
Barbasi;500;60000;2;4;4;2.92828e+06;742.25;
Barbasi;500;60000;2;4;4;2.83839e+06;756.25;
Barbasi;500;60000;2;4;4;2.50667e+06;784;
Barbasi;500;60000;2;4;4;2.63454e+06;755.75;
Barbasi;500;60000;2;4;4;2.45482e+06;743.5;
Barbasi;600;86400;2;4;4;5.21788e+06;1003.25;
Barbasi;600;86400;2;4;4;4.79415e+06;1005.75;
Barbasi;600;86400;2;4;4;4.40666e+06;1065.5;
Barbasi;600;86400;2;4;4;5.18693e+06;1046.25;
Barbasi;600;86400;2;4;4;4.93864e+06;1062.5;
Barbasi;600;86400;2;4;4;5.35596e+06;1044.5;
Barbasi;600;86400;2;4;4;5.26358e+06;1033.5;
Barbasi;600;86400;2;4;4;4.76976e+06;1047.75;
Barbasi;600;86400;2;4;4;5.2354e+06;1044.25;
Barbasi;600;86400;2;4;4;4.74983e+06;1046.25;
Barbasi;700;117600;2;4;4;6.68218e+06;1402.25;
Barbasi;700;117600;2;4;4;8.64463e+06;1376;
Barbasi;700;117600;2;4;4;8.48456e+06;1390.5;
Barbasi;700;117600;2;4;4;7.64527e+06;1404.5;
Barbasi;700;117600;2;4;4;9.04161e+06;1389;
Barbasi;700;117600;2;4;4;8.83913e+06;1424.75;
Barbasi;700;117600;2;4;4;9.222e+06;1721;
Barbasi;700;117600;2;4;4;8.85626e+06;1290.5;
Barbasi;700;117600;2;4;4;6.85284e+06;1426.5;
Barbasi;700;117600;2;4;5;8.96696e+06;1935.5;
Barbasi;800;153600;2;4;4;1.79184e+07;1791.5;
Barbasi;800;153600;2;4;4;1.21947e+07;1803.25;
Barbasi;800;153600;2;4;5;1.32823e+07;2542;
Barbasi;800;153600;2;4;4;1.37349e+07;1819.75;
Barbasi;800;153600;2;4;4;1.37656e+07;1840;
Barbasi;800;153600;2;4;4;1.36216e+07;1850.75;
Barbasi;800;153600;2;4;4;1.3286e+07;1789.25;
Barbasi;800;153600;2;4;4;1.25351e+07;1770;
Barbasi;800;153600;2;4;4;1.2768e+07;1814.5;
Barbasi;800;153600;2;4;4;1.24581e+07;4824;
Barbasi;900;194400;2;4;4;1.7739e+07;2360.5;
Barbasi;900;194400;2;4;5;1.95098e+07;3227.75;
Barbasi;900;194400;2;4;4;1.91667e+07;2225;
Barbasi;900;194400;2;4;4;1.73103e+07;2267.5;
Barbasi;900;194400;2;4;4;1.98934e+07;2269;
Barbasi;900;194400;2;4;5;1.7636e+07;3184;
Barbasi;900;194400;2;4;4;1.96835e+07;2229.75;
Barbasi;900;194400;2;4;4;1.73092e+07;2333;
Barbasi;900;194400;2;4;4;1.76185e+07;2211;
Barbasi;900;194400;2;4;4;1.95173e+07;2196;
Barbasi;1000;240000;2;4;5;2.24662e+07;3651.5;
Barbasi;1000;240000;2;4;4;2.37485e+07;2829.25;
Barbasi;1000;240000;2;4;4;2.71044e+07;3099.5;
Barbasi;1000;240000;2;4;4;2.71486e+07;2793.75;
Barbasi;1000;240000;2;4;4;2.569e+07;2813.75;
Barbasi;1000;240000;2;4;5;2.97751e+07;4090;
Barbasi;1000;240000;2;4;4;2.62837e+07;2933.5;
Barbasi;1000;240000;2;4;4;2.81171e+07;2819.75;
Barbasi;1000;240000;2;4;5;2.80554e+07;3893.75;
Barbasi;1000;240000;2;4;5;3.00545e+07;3902.75;
